"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"Census Region"	"Census Region Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"45 years"	"45"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	552	322705	171.1
	"1999"	"1999"	"45 years"	"45"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	758	421345	179.9
	"1999"	"1999"	"45 years"	"45"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	1058	525692	201.3
	"1999"	"1999"	"45 years"	"45"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	632	316418	199.7
	"1999"	"1999"	"45 years"	"45"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	968	318574	303.9
	"1999"	"1999"	"45 years"	"45"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	1215	421959	287.9
	"1999"	"1999"	"45 years"	"45"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	2012	519520	387.3
	"1999"	"1999"	"45 years"	"45"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	1109	320180	346.4
	"1999"	"1999"	"46 years"	"46"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	572	309366	184.9
	"1999"	"1999"	"46 years"	"46"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	817	401367	203.6
	"1999"	"1999"	"46 years"	"46"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	1121	499666	224.3
	"1999"	"1999"	"46 years"	"46"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	652	303729	214.7
	"1999"	"1999"	"46 years"	"46"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	1000	300688	332.6
	"1999"	"1999"	"46 years"	"46"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	1360	399595	340.3
	"1999"	"1999"	"46 years"	"46"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	2102	490550	428.5
	"1999"	"1999"	"46 years"	"46"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	1185	302122	392.2
	"1999"	"1999"	"47 years"	"47"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	645	308106	209.3
